Category,Age_group_years,Year_range,All,Men,Women
Children,1.5-3,2008/09-2009/10,12.1,,
Children,1.5-3,2010/11-2011/12,13,,
Children,1.5-3,2012/13-2013/14,12.8,,
Children,1.5-3,2014/15-2015/16,11.3,,
Children,4-10,2008/09-2009/10,14.7,,
Children,4-10,2010/11-2011/12,15.5,,
Children,4-10,2012/13-2013/14,14,,
Children,4-10,2014/15-2015/16,13.5,,
Children,11-18,2008/09-2009/10,15.9,,
Children,11-18,2010/11-2011/12,15.8,,
Children,11-18,2012/13-2013/14,15.8,,
Children,11-18,2014/15-2015/16,14.1,,
Adults,19-64,2008/09-2009/10,11.8,12,11.6
Adults,19-64,2010/11-2011/12,11.7,12.3,11.2
Adults,19-64,2012/13-2013/14,12.1,12.5,11.6
Adults,19-64,2014/15-2015/16,11.1,11.1,11.2
Adults,>65,2008/09-2009/10,10.9,9.7,10.1
Adults,>65,2010/11-2011/12,11.4,11,11.3
Adults,>65,2012/13-2013/14,10.8,11.6,9.5
Adults,>65,2014/15-2015/16,11.2,11.8,10.4
Adults,65-74,2008/09-2009/10,9.9,9.7,10.1
Adults,65-74,2010/11-2011/12,11.2,11,11.3
Adults,65-74,2012/13-2013/14,10.5,11.6,9.5
Adults,65-74,2014/15-2015/16,11,11.8,10.4
Adults,>75,2008/09-2009/10,12.2,11.8,12.4
Adults,>75,2010/11-2011/12,11.8,12.3,11.2
Adults,>75,2012/13-2013/14,11.3,11.5,11.2
Adults,>75,2014/15-2015/16,11.3,12.5,10.4
